2024-09-08 22:07:27 | INFO     | src.yandex:fill_form:125 - Processed question 2
2024-09-08 22:07:29 | INFO     | src.yandex:fill_form:125 - Processed question 3
2024-09-08 22:07:35 | INFO     | src.yandex:fill_form:125 - Processed question 4
2024-09-08 22:07:39 | INFO     | __main__:main:13 - 0 итерация
2024-09-08 22:07:39 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:07:42 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:07:43 | INFO     | src.yandex:fill_form:125 - Processed question 1
2024-09-08 22:08:15 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:08:18 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:08:34 | INFO     | __main__:main:13 - 1 итерация
2024-09-08 22:08:35 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:08:37 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:08:51 | INFO     | __main__:main:13 - 2 итерация
2024-09-08 22:08:52 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:08:54 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:09:13 | INFO     | __main__:main:13 - 3 итерация
2024-09-08 22:09:13 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:09:16 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:09:32 | INFO     | __main__:main:13 - 4 итерация
2024-09-08 22:09:32 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:09:35 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:09:51 | INFO     | __main__:main:13 - 5 итерация
2024-09-08 22:09:52 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:09:54 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:10:09 | INFO     | __main__:main:13 - 6 итерация
2024-09-08 22:10:09 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:10:11 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:10:30 | INFO     | __main__:main:13 - 7 итерация
2024-09-08 22:10:30 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:10:32 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:10:52 | INFO     | __main__:main:13 - 8 итерация
2024-09-08 22:10:52 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:10:54 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:11:09 | INFO     | __main__:main:13 - 9 итерация
2024-09-08 22:11:09 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:11:11 | DEBUG    | src.yandex:start:34 - Page loaded
2024-09-08 22:11:25 | INFO     | __main__:main:13 - 10 итерация
2024-09-08 22:11:25 | DEBUG    | src.yandex:_init_browser:27 - Browser initialized
2024-09-08 22:11:27 | DEBUG    | src.yandex:start:34 - Page loaded
